gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysAnxious,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive,happiness
Male,0 - 10k,175 - 180,Yes,They are separate,Rarely,"Yes, I have family",Rarely,Sometimes,Yes,1,1,0,0,0,-1,-1,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,1,-9.85411
Female,0 - 10k,165 - 170,Yes,They conflict,Never,"Yes, I have both",At least once a month,Never,Yes,-1,-2,0,-2,-1,0,-2,-2,1,0,-2,-2,-2,0,-1,0,0,0,-1,-1,-2,-2,0,0,0,-2,0,0,1,0,0,1,-18.6084
Female,150k - 200k,155 - 160,Yes,They complement each other,Never,"Yes, I have both",At least once a week,Rarely,Yes,-2,1,1,0,1,1,1,0,1,2,1,0,1,1,1,-1,0,1,2,1,1,-2,0,0,1,0,1,2,0,2,1,-1,3.42326
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Never,Yes,-1,-2,1,-2,1,1,-2,-1,1,2,-2,1,-1,0,2,-1,1,1,1,0,1,-2,2,2,-2,0,2,2,-1,2,1,0,-15.4349
Female,150k - 200k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,-2,2,1,0,1,2,-2,1,2,1,1,-2,1,2,-1,0,1,1,0,1,0,0,2,0,-1,2,2,-1,2,0,0,-6.40983
Female,15k - 20k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Rarely,Yes,2,1,1,0,-2,1,0,-1,-2,1,0,-1,2,0,1,-2,0,0,0,-2,0,-2,0,2,1,1,0,-2,0,1,0,1,-5.99059
Female,200k above,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Rarely,Yes,-1,-1,1,1,0,1,-2,-1,1,0,-1,0,0,0,0,-1,0,1,2,-2,0,-2,1,1,1,2,2,0,1,1,1,-1,30.3105
Female,20k - 50k,170 - 175,Yes,They complement each other,Never,"Yes, I have family",At least once a week,Never,No,1,0,-2,1,-2,-2,0,-2,-2,0,0,-1,0,-2,-1,0,-1,1,0,0,0,0,-1,-2,0,-2,-1,-1,2,0,1,-1,13.7282
Male,0 - 10k,175 - 180,Yes,They are separate,Always,"Yes, I have both",At least once a week,Sometimes,Yes,-2,1,2,1,1,1,-1,-2,2,1,-1,1,1,1,1,-1,1,1,1,-1,1,-1,2,2,1,1,1,1,0,2,1,-1,-9.39157
Male,10k - 15k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",At least once a week,Sometimes,Yes,-2,0,0,0,-2,-2,-2,-2,0,1,-2,1,0,0,-2,0,0,1,0,-2,-1,-1,0,1,0,1,1,0,0,0,1,-2,-19.1772
Male,15k - 20k,150 - 155,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Never,Yes,0,0,0,1,-2,-2,1,-1,0,0,0,-2,-1,1,0,-2,1,1,1,0,1,1,1,0,0,0,1,0,1,2,1,1,-1.02063
Male,150k - 200k,155 - 160,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-2,0,1,1,-2,-2,2,-1,-2,1,-1,-2,-2,-2,0,1,-2,2,0,1,-2,1,-2,-2,0,2,-2,0,0,0,-2,1,-4.39127
Male,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-1,-1,1,1,0,1,0,-1,1,1,0,0,0,0,1,-1,1,1,0,-1,0,-1,1,0,0,-1,1,1,0,1,0,0,-1.1294
Male,50k - 80k,180 - 185,Yes,They conflict,Rarely,"Yes, I have family",Rarely,Sometimes,Yes,-2,0,0,-1,-2,-2,0,1,-1,-2,0,-2,0,0,-2,2,-1,0,-2,1,-2,1,-2,-1,-1,1,-1,-1,2,-1,0,1,12.0752
Female,80k - 120k,150 - 155,Yes,They conflict,Rarely,No,At least once a week,Always,No,-2,0,2,1,1,0,1,-2,1,1,1,-2,0,-1,2,1,1,2,-2,1,2,-1,2,2,1,0,1,2,-1,1,-2,0,27.5981
Male,10k - 15k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,-1,-1,1,0,-1,0,-1,-1,1,0,0,1,1,1,1,-1,0,1,0,-1,0,-1,1,1,0,-1,1,0,0,1,1,0,-0.960889
Female,150k - 200k,160 - 165,Yes,They complement each other,Never,"Yes, I have both",At least once a month,Sometimes,Yes,2,1,1,-2,0,0,1,0,0,0,0,0,1,0,-2,1,-1,0,0,2,0,-2,0,0,0,0,-1,-2,-2,-2,0,2,0.297758
Male,15k - 20k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a month,Never,Yes,-2,1,0,0,1,0,-1,-2,1,2,0,-2,-1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,-2,1,1,1,1,8.39871
Male,0 - 10k,160 - 165,No,They complement each other,Sometimes,"Yes, I have both",Rarely,Sometimes,No,2,2,1,0,0,-1,0,1,0,0,-2,-2,2,-2,0,0,-1,0,0,2,-2,2,1,-2,-2,2,1,-2,0,0,0,2,-21.6646
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Never,Yes,0,-2,1,1,-1,-2,-2,-1,1,1,-2,0,1,-1,1,0,1,1,0,-2,0,-1,0,1,-2,0,0,-2,1,1,0,-2,1.80823
Other,50k - 80k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a month,Always,Yes,-1,-1,1,1,-2,1,0,-1,0,1,-1,-2,-2,0,0,-2,1,1,2,-1,1,-1,1,1,0,-1,1,0,-1,1,1,-1,35.1203
Male,20k - 50k,180 - 185,Yes,They are separate,Rarely,No,More than three times a week,Never,Yes,0,0,1,2,-2,-2,0,-1,0,0,-2,-2,0,0,0,1,0,0,-2,0,-2,0,0,-2,1,-1,-2,0,-2,1,0,-2,11.5286
Male,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",Rarely,Never,No,0,1,0,-1,-1,-1,0,0,0,1,0,0,2,0,0,0,0,1,-2,2,0,0,0,0,0,2,0,0,1,0,0,0,-10.7487
Male,15k - 20k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Sometimes,Yes,-2,-1,0,0,0,0,0,0,2,1,-2,1,-2,1,0,0,1,1,2,-2,1,-2,1,0,1,-1,1,-2,1,1,1,-2,11.236
Female,0 - 10k,155 - 160,Yes,They are separate,Never,"Yes, I have both",At least once a month,Rarely,Yes,-1,-1,0,0,0,1,0,-2,0,0,-2,1,1,1,1,-1,-2,1,2,-2,-2,-2,-2,1,1,0,1,1,-1,1,-2,0,-11.0102
Male,10k - 15k,170 - 175,Yes,They conflict,Rarely,No,At least once a month,Always,Yes,-2,-2,1,2,2,2,0,-2,2,0,-2,-1,-2,1,-2,-1,0,2,0,-1,0,-1,2,2,2,-2,1,2,0,2,1,-1,-11.573
Other,20k - 50k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,0,0,1,-2,0,-2,-2,2,1,0,1,1,1,1,2,1,2,0,-2,-2,-2,1,1,0,1,1,-1,0,1,-2,1,6.14903
Female,0 - 10k,160 - 165,Yes,They complement each other,Always,"Yes, I have both",At least once a week,Always,Yes,-1,-1,1,-1,0,1,1,-1,2,0,-1,0,-1,1,1,-1,1,1,1,0,1,-1,2,1,1,-1,1,1,-1,2,1,-1,-3.41804
Male,150k - 200k,165 - 170,Yes,They conflict,Sometimes,"Yes, I have both",At least once a month,Never,No,0,-2,1,2,-2,0,0,1,-2,2,-2,0,2,0,1,1,-1,2,2,1,1,-2,-2,0,2,0,-1,1,2,-2,0,0,4.30881
Female,10k - 15k,155 - 160,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,-2,1,0,-2,2,-2,-1,2,1,-2,1,-2,0,1,0,-2,1,0,-1,1,-1,2,2,1,2,2,2,-2,1,0,-2,-1.48621
Female,200k above,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Sometimes,Yes,0,0,1,1,-1,0,0,-1,-2,0,0,-1,1,0,0,0,0,0,0,0,-2,0,-2,-2,-2,0,-2,-2,-2,1,0,1,13.7575
Female,120k - 150k,165 - 170,Yes,They are separate,Rarely,"Yes, I have both",More than three times a week,Rarely,Yes,0,-2,1,-2,-2,1,-1,-2,1,2,0,0,1,0,0,-1,2,2,2,-1,2,-2,1,1,1,-2,2,1,-2,2,2,-1,8.84818
Male,200k above,170 - 175,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Rarely,No,1,2,2,-1,-2,-2,1,1,0,-2,0,1,1,0,2,0,-2,0,1,0,0,-2,0,0,-1,2,-2,0,0,-2,0,1,-0.52366
Female,150k - 200k,160 - 165,Yes,They complement each other,Never,"Yes, I have both",More than three times a week,Always,Yes,0,2,2,-2,1,0,0,-2,0,0,2,0,1,-2,2,-2,1,2,1,-1,0,-1,2,1,0,-2,0,2,-2,1,0,-2,-3.24668
Male,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a month,Rarely,Yes,-2,0,0,-1,0,0,-2,-2,-2,-2,-2,0,0,0,-2,0,-2,1,-2,-2,-2,-2,0,0,-2,0,1,0,0,1,0,0,-6.07237
Male,20k - 50k,160 - 165,Yes,They complement each other,Always,"Yes, I have family",More than three times a week,Always,Yes,0,0,1,1,1,1,-2,-2,1,2,0,0,-2,1,1,0,2,2,1,-1,1,-1,1,0,1,-2,0,1,-2,2,2,-1,3.99318
Female,20k - 50k,170 - 175,Yes,They complement each other,Always,"Yes, I have family",At least once a month,Rarely,Yes,0,0,2,0,1,-2,1,0,-2,1,-2,-2,0,-2,-2,0,0,2,0,1,0,0,0,0,2,0,-2,0,1,1,-1,-2,4.0647
Male,20k - 50k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Rarely,Yes,1,1,1,2,0,0,0,-2,1,0,-2,0,-2,2,1,1,1,2,0,1,-1,-2,1,2,-2,0,1,0,-1,0,1,0,8.8888
Male,150k - 200k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have family",No,Never,No,1,1,1,-2,2,0,-2,0,1,1,-2,2,2,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,-2,1,-2,1,-2.27611
Female,0 - 10k,155 - 160,Yes,They complement each other,Always,"Yes, I have both",At least once a week,Always,Yes,-2,0,1,-2,2,0,1,-2,1,2,-2,2,2,1,2,0,1,1,1,-2,1,-1,2,1,1,-2,1,2,-1,1,0,1,-11.5926
Female,15k - 20k,150 - 155,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Never,Yes,-2,-2,2,1,1,1,0,-2,1,2,-2,0,-2,0,0,0,2,1,1,1,1,-1,1,2,2,0,0,1,-2,0,1,-2,0.416021
Female,10k - 15k,165 - 170,Yes,They conflict,Never,"Yes, I have both",At least once a month,Always,Yes,-1,-1,1,0,1,1,-2,-1,-2,2,0,1,0,1,0,0,1,1,2,-1,2,-2,-2,1,1,-2,1,1,-1,1,0,-1,3.16271
Male,10k - 15k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,-2,-1,0,-1,-2,-2,0,-1,0,-2,-1,0,-1,0,-2,0,-1,1,-2,0,0,-2,0,0,-2,1,1,-2,1,0,1,-2,-7.75246
Male,120k - 150k,170 - 175,Yes,They conflict,Always,"Yes, I have both",At least once a month,Never,Yes,-2,0,1,-1,2,0,-2,0,-2,1,1,-2,2,1,-2,-1,0,0,1,1,1,-2,0,1,2,1,0,0,1,0,1,-2,1.40485
Male,150k - 200k,175 - 180,Yes,They conflict,Never,No,At least once a week,Always,Yes,-1,-2,2,0,-2,0,0,-1,1,1,-1,0,-2,0,1,1,-2,2,1,1,1,0,0,0,2,-2,0,1,-2,2,1,0,7.59498
Male,80k - 120k,170 - 175,Yes,They conflict,Always,"Yes, I have family",At least once a week,Always,Yes,-1,0,1,1,0,0,0,-1,-2,1,0,0,1,0,1,2,0,0,0,0,1,-2,-1,1,1,-2,-2,1,-2,0,0,0,22.5221
Female,150k - 200k,170 - 175,Yes,They complement each other,Never,"Yes, I have family",At least once a month,Sometimes,Yes,-2,-2,0,-2,0,0,0,-2,0,-2,-1,1,0,-1,0,1,0,-1,0,-1,-2,0,-2,-2,1,-1,0,-1,-1,0,-2,0,-10.3496
Female,150k - 200k,165 - 170,Yes,They complement each other,Never,No,At least once a week,Never,Yes,-1,-1,2,0,-2,2,0,-1,2,0,-1,-1,-1,0,2,-1,2,2,1,-1,1,-2,2,2,-1,0,1,2,-1,1,0,-2,0.792887
Male,120k - 150k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,No,0,0,-1,-1,0,-1,0,-1,-2,-1,-1,1,-2,0,0,-2,-2,-1,-2,-1,-2,-1,-2,-2,-1,1,-2,-2,0,-2,0,2,0.616968
Male,20k - 50k,165 - 170,Yes,They are separate,Rarely,"Yes, I have family",At least once a week,Never,Yes,-1,-1,2,1,2,2,-1,-1,2,2,-1,0,-2,1,-2,-1,0,2,2,0,1,-1,1,2,0,-2,1,0,0,1,0,-2,27.6123
Female,80k - 120k,165 - 170,Yes,They complement each other,Never,"Yes, I have family",More than three times a week,Sometimes,Yes,-1,-1,1,1,-2,0,-1,-2,1,0,0,0,-1,0,0,-2,1,1,0,-1,0,-1,0,-2,1,-1,1,-2,-1,1,1,-1,31.1046
Male,0 - 10k,160 - 165,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,-2,-2,1,2,1,1,-1,-2,1,1,-2,1,-1,1,0,-2,1,2,0,-1,0,-1,1,1,0,-2,1,2,-1,1,0,-1,-4.67033
Male,0 - 10k,170 - 175,Yes,They are separate,Rarely,"Yes, I have family",At least once a week,Always,Yes,-1,-2,1,0,-2,0,-2,-1,1,1,-1,-2,0,1,0,-1,-1,1,1,1,2,-2,1,1,0,0,0,1,0,1,1,-2,-11.4845
Female,20k - 50k,155 - 160,Yes,They conflict,Sometimes,No,No,Always,No,0,-2,1,1,0,0,0,-2,0,0,-2,-2,-2,0,1,-2,-2,1,0,1,0,2,0,1,1,1,0,2,1,1,0,-1,9.93367
Male,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Sometimes,Yes,1,0,1,1,2,0,0,1,1,2,-2,0,-2,0,0,0,1,2,2,0,-2,0,0,0,1,-2,1,2,-2,1,1,-1,-13.8345
Male,15k - 20k,175 - 180,Yes,They complement each other,Never,"Yes, I have family",At least once a week,Rarely,Yes,-2,-1,2,2,0,2,0,-2,1,2,-2,1,0,1,0,-2,0,1,1,-1,1,-1,1,1,1,-1,1,1,0,1,0,-1,9.92209
Male,80k - 120k,190 above,Yes,They complement each other,Sometimes,"Yes, I have both",Rarely,Never,Yes,-1,-1,1,0,-1,-1,1,-2,0,-2,-1,0,0,0,1,1,1,0,-2,1,0,1,0,0,0,-1,2,-2,-2,0,0,0,21.7113
Female,120k - 150k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Never,Yes,-1,-1,1,0,0,0,1,-1,0,0,-2,-2,-2,-2,1,-1,0,1,1,0,2,-1,0,1,-2,-2,1,1,-1,1,0,0,9.70253
Male,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Never,Yes,2,1,0,-2,-2,-2,0,0,-1,0,1,-2,1,-2,-2,-1,0,1,0,0,-2,-2,-2,0,1,2,-2,0,-2,-2,1,0,-29.4368
Male,20k - 50k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",No,Never,No,-1,-2,0,0,0,-2,0,-1,-2,0,-1,-1,-1,0,-1,0,-2,2,-2,1,-2,-2,-2,1,0,1,1,-1,0,1,0,-1,8.74634
Female,200k above,160 - 165,Yes,They complement each other,Never,"Yes, I have both",No,Always,No,0,0,0,-2,-1,-1,0,-1,-2,-2,-1,-1,-1,-2,0,1,-2,0,0,2,1,0,1,-2,1,1,0,-2,0,0,1,0,13.0045
Male,0 - 10k,170 - 175,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Sometimes,Yes,1,1,0,-1,-2,0,-2,1,0,-2,0,-2,1,-2,-2,-2,-2,0,1,1,-2,-1,-2,0,0,1,-2,-2,0,0,0,1,-24.9427
Male,80k - 120k,160 - 165,Yes,They complement each other,Sometimes,No,Rarely,Never,No,1,-2,2,1,0,0,2,-2,0,0,0,-1,1,0,0,-2,-2,0,0,0,0,0,0,1,0,1,0,-2,2,1,1,-2,15.7552
Female,0 - 10k,140 - 150,Yes,They conflict,Sometimes,"Yes, I have family",More than three times a week,Sometimes,Yes,-1,-1,1,0,0,0,-1,-2,2,2,0,2,1,1,2,-1,1,2,2,0,1,-1,2,1,2,-1,2,1,-2,1,2,-2,-20.9441
Female,15k - 20k,160 - 165,Yes,They conflict,Never,"Yes, I have both",At least once a month,Rarely,Yes,-1,-1,1,0,1,1,0,-2,0,0,-2,2,2,0,1,-2,0,2,1,0,2,-1,1,1,2,-2,1,0,-2,0,0,-2,-2.11228
Male,50k - 80k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-2,-2,1,0,0,0,-1,-1,-2,0,-1,-1,0,-2,0,0,-1,1,-2,0,0,1,0,0,-2,0,1,-1,-1,1,-1,0,12.5322
Male,15k - 20k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Rarely,No,1,0,0,-2,-2,0,-2,-2,-1,-1,1,0,1,1,2,1,0,0,-1,0,-2,0,0,0,-1,1,-2,-1,1,-2,0,2,0.0694285
Male,0 - 10k,165 - 170,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Sometimes,Yes,-1,-1,0,1,-2,-2,-1,-1,0,1,-1,0,0,1,0,-2,0,1,0,0,0,0,0,1,1,-2,1,-2,0,0,0,-2,-20.6094
Female,150k - 200k,170 - 175,Yes,They conflict,Sometimes,"Yes, I have both",Rarely,Rarely,Yes,1,0,1,0,-1,-1,0,0,0,0,0,0,0,-2,0,1,-2,0,0,2,-2,0,0,-2,1,0,-2,-2,2,-2,0,2,0.495012
Male,0 - 10k,155 - 160,Yes,They are separate,Sometimes,"Yes, I have family",More than three times a week,Rarely,Yes,0,1,0,0,1,1,2,0,0,0,-1,1,0,1,2,-1,-2,1,1,0,1,-2,1,1,0,2,0,2,-2,2,0,0,-16.563
Male,20k - 50k,180 - 185,Yes,They complement each other,Sometimes,"Yes, I have family",Rarely,Always,No,1,1,1,0,0,0,0,2,-2,1,0,2,1,0,0,2,-1,1,1,1,0,2,-2,-2,0,2,-2,-2,2,0,0,-2,11.5348
Male,0 - 10k,185 - 190,Yes,They conflict,Sometimes,No,At least once a week,Always,Yes,1,2,1,-1,2,1,0,-2,-1,-1,2,0,2,2,1,1,-1,2,-1,2,1,-1,1,2,0,1,1,1,1,0,0,1,-21.6516
Male,200k above,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a week,Never,Yes,1,0,1,1,-2,1,1,-2,0,0,-2,1,-2,2,0,1,-2,0,2,1,0,-2,2,1,0,-2,-2,0,0,1,1,2,10.0993
Female,0 - 10k,155 - 160,Yes,They complement each other,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,-2,0,2,0,1,0,-2,-1,0,1,0,-1,-2,-2,2,-2,2,1,0,-1,0,1,2,1,0,-2,0,1,-2,0,1,1,-30.1808
Female,0 - 10k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have family",Rarely,Sometimes,Yes,-1,-1,1,2,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,0,-1,-1.1255
Female,10k - 15k,140 - 150,Yes,They are separate,Rarely,"Yes, I have both",Rarely,Always,Yes,-2,0,2,-2,-2,0,-1,-2,1,1,0,-2,0,1,0,-1,0,1,0,2,1,-1,2,2,0,1,1,0,-2,2,1,0,-2.26376
Female,0 - 10k,165 - 170,Yes,They complement each other,Never,"Yes, I have family",More than three times a week,Never,Yes,-2,-2,1,-2,0,0,-1,-1,-2,1,1,1,2,0,1,-1,2,0,1,-2,0,-1,2,1,0,-2,2,2,0,1,1,0,-10.986
Male,10k - 15k,165 - 170,No,They complement each other,Sometimes,"Yes, I have both",No,Rarely,Yes,-2,-2,-2,-1,0,1,-2,-1,0,1,-1,1,0,0,-1,-1,-1,1,-2,2,-1,-2,-2,0,-2,1,0,-1,0,1,0,1,0.782723
Male,200k above,165 - 170,Yes,They are separate,Rarely,"Yes, I have both",At least once a week,Sometimes,Yes,-1,-1,2,2,1,1,-1,-1,1,1,-2,1,-2,0,0,-2,1,2,1,-1,2,-1,1,2,0,0,1,1,-1,2,1,-1,18.3059
Male,0 - 10k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,1,0,1,0,-1,0,-1,1,0,0,0,0,0,-1,1,1,1,-6.21555
Male,120k - 150k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have both",At least once a week,Always,No,0,0,1,-2,1,0,2,-2,1,0,-2,2,-2,0,-2,0,1,0,0,-2,0,-1,2,0,0,1,0,0,-1,0,0,1,-6.13675
Male,80k - 120k,165 - 170,Yes,They complement each other,Rarely,No,At least once a week,Rarely,Yes,-2,-2,0,-2,0,-2,-2,1,0,-2,0,-2,1,-2,0,0,0,0,0,0,0,1,2,0,-2,1,-1,-1,0,-2,-2,0,12.5627
Female,20k - 50k,140 - 150,No,They complement each other,Sometimes,"Yes, I have family",At least once a week,Sometimes,Yes,-2,-1,-1,-1,-2,-1,0,0,-1,-1,-2,-2,-1,-2,-2,-1,1,0,0,0,-1,1,-2,0,0,-1,-1,-1,0,-1,1,0,3.97437
Female,80k - 120k,165 - 170,Yes,They complement each other,Always,"Yes, I have both",Rarely,Rarely,No,0,0,2,1,1,0,-2,-1,1,0,0,1,0,0,1,2,0,1,0,0,0,2,1,1,1,1,-2,0,-2,1,0,0,28.4955
Male,200k above,185 - 190,Yes,They complement each other,Never,"Yes, I have both",At least once a month,Never,Yes,0,1,1,0,1,-2,-2,-2,-2,0,1,-1,1,-2,0,2,-2,0,-2,0,1,0,-2,-2,-2,-2,0,-1,0,-2,1,0,3.93581
Male,150k - 200k,170 - 175,No,They complement each other,Sometimes,"Yes, I have both",Rarely,Never,Yes,0,1,1,-1,-2,-2,1,0,1,-2,0,-1,0,0,0,1,0,0,-2,2,-1,0,-2,-2,-2,2,0,0,2,1,0,0,-13.8293
Male,80k - 120k,185 - 190,Yes,They are separate,Never,"Yes, I have family",At least once a week,Always,Yes,-2,-2,2,2,1,2,-1,-1,1,2,0,0,-2,0,2,-2,1,2,2,-1,2,-1,1,1,2,-2,2,2,-1,2,1,-2,39.1506
Male,20k - 50k,180 - 185,Yes,They complement each other,Never,"Yes, I have both",No,Never,Yes,-2,-2,0,1,0,1,0,-1,0,0,0,-2,0,1,-2,0,1,2,1,0,2,0,1,2,0,1,0,0,-2,2,0,-2,8.10825
Female,150k - 200k,180 - 185,Yes,They complement each other,Rarely,"Yes, I have both",More than three times a week,Always,Yes,0,1,1,0,1,0,0,1,2,1,1,0,0,0,0,1,0,0,1,-2,2,0,1,1,2,-2,2,1,1,1,2,-1,-7.52369
Female,120k - 150k,175 - 180,Yes,They conflict,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,0,0,2,2,-2,0,-2,0,1,2,0,0,0,0,1,1,2,1,1,0,0,-2,2,1,0,-2,1,2,1,0,1,-2,-10.591
Male,0 - 10k,170 - 175,Yes,They conflict,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,1,2,0,-2,1,1,-2,1,1,-1,-1,-1,1,1,1,-1,1,2,1,1,0,1,2,1,0,-1,0,2,0,1,1,-10.7202
Female,0 - 10k,155 - 160,Yes,They complement each other,Never,"Yes, I have both",At least once a month,Always,Yes,-2,0,1,0,0,-2,2,-1,-2,2,-2,0,2,-2,0,-1,0,0,1,0,0,-1,0,0,1,1,0,2,-1,0,-2,1,-10.0258
Male,0 - 10k,165 - 170,Yes,They complement each other,Sometimes,"Yes, I have family",More than three times a week,Rarely,Yes,-2,-2,2,0,1,0,-1,-2,2,2,-1,0,1,0,2,-2,0,2,2,-1,-2,-1,1,0,1,0,0,2,-1,1,-2,-1,-20.0346
Male,15k - 20k,180 - 185,Yes,They complement each other,Always,"Yes, I have both",More than three times a week,Rarely,Yes,-2,-2,1,-2,0,1,-1,-1,0,1,-1,-1,0,0,-1,1,0,2,-1,0,0,1,0,1,-2,-2,0,-2,1,1,0,-2,-5.1659
Female,0 - 10k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have both",No,Rarely,Yes,-2,1,1,0,-1,1,1,-2,2,0,-2,-2,0,0,0,-1,0,1,-2,1,0,-2,1,0,0,-2,1,0,-2,1,-2,0,-7.60252
Male,50k - 80k,165 - 170,Yes,They conflict,Never,"Yes, I have family",More than three times a week,Always,Yes,-1,-1,2,2,-2,2,0,-1,2,1,-1,0,0,0,1,0,1,2,2,-2,1,-1,2,2,1,-1,2,2,-1,2,0,-2,19.2528
Female,0 - 10k,165 - 170,Yes,They conflict,Rarely,No,More than three times a week,Rarely,Yes,0,0,1,0,1,2,-1,-2,2,1,-1,0,-2,1,1,1,-1,1,2,-2,1,-2,2,0,0,0,1,0,-1,1,0,0,-13.658
Female,0 - 10k,160 - 165,Yes,They complement each other,Sometimes,"Yes, I have family",Rarely,Sometimes,Yes,-1,0,1,0,-2,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-2,1,1,0,-2,1,-1,-2,-1,0,0,-1,0,-1,0,0,-1,-6.55485
Male,0 - 10k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",At least once a week,Sometimes,Yes,0,1,1,2,1,1,0,0,2,2,1,1,0,1,1,0,1,1,1,0,1,-1,0,0,1,0,1,1,1,1,1,-1,-10.6553
Male,10k - 15k,180 - 185,Yes,They are separate,Always,"Yes, I have both",At least once a week,Always,Yes,-1,0,1,1,2,2,0,-1,1,2,0,0,1,2,2,-2,2,2,2,-2,2,-1,2,1,2,-2,2,2,-1,2,1,1,10.5272
